Time,Z-stack,Microns,Intensity,Cell
1,0,0,557.594,1
1,1,2.498,788.733,1
1,2,4.9959,785.602,1
1,3,7.4939,751.869,1
1,4,9.9918,829.713,1
1,5,12.4898,954.544,1
1,6,14.9878,881.375,1
2,0,0,576.569,1
2,1,2.498,865.845,1
2,2,4.9959,924.826,1
2,3,7.4939,1084.258,1
2,4,9.9918,1114.37,1
2,5,12.4898,979.678,1
2,6,14.9878,1002.896,1
3,0,0,510.412,1
3,1,2.498,830.711,1
3,2,4.9959,972.954,1
3,3,7.4939,1242.331,1
3,4,9.9918,1199.188,1
3,5,12.4898,958.335,1
3,6,14.9878,973.482,1
4,0,0,707.89,1
4,1,2.498,1166.453,1
4,2,4.9959,1343.524,1
4,3,7.4939,1527.118,1
4,4,9.9918,1405.564,1
4,5,12.4898,1381.97,1
4,6,14.9878,1270.634,1
5,0,0,964.201,1
5,1,2.498,1211.464,1
5,2,4.9959,1206.688,1
5,3,7.4939,1160.884,1
5,4,9.9918,1188.505,1
5,5,12.4898,1308.997,1
5,6,14.9878,1179.353,1
6,0,0,1142.841,1
6,1,2.498,910.798,1
6,2,4.9959,716.681,1
6,3,7.4939,422.852,1
6,4,9.9918,270.052,1
6,5,12.4898,156.994,1
6,6,14.9878,136.695,1
7,0,0,742.646,1
7,1,2.498,462.875,1
7,2,4.9959,214.619,1
7,3,7.4939,92.024,1
7,4,9.9918,43.756,1
7,5,12.4898,40.777,1
7,6,14.9878,41.98,1
8,0,0,570.096,1
8,1,2.498,198.744,1
8,2,4.9959,113.68,1
8,3,7.4939,63.252,1
8,4,9.9918,67.533,1
8,5,12.4898,64.11,1
8,6,14.9878,52.301,1
9,0,0,434.234,1
9,1,2.498,143.258,1
9,2,4.9959,73.258,1
9,3,7.4939,49.412,1
9,4,9.9918,51.319,1
9,5,12.4898,47.49,1
9,6,14.9878,47.763,1
10,0,0,259.008,1
10,1,2.498,111.579,1
10,2,4.9959,78.262,1
10,3,7.4939,65.694,1
10,4,9.9918,70.351,1
10,5,12.4898,74.272,1
10,6,14.9878,71.13,1
11,0,0,406.709,1
11,1,2.498,254.941,1
11,2,4.9959,125.512,1
11,3,7.4939,114.64,1
11,4,9.9918,116.653,1
11,5,12.4898,90.451,1
11,6,14.9878,90.273,1
1,0,0,517.444,2
1,1,2.49796,733.661,2
1,2,4.99592,875.128,2
1,3,7.49389,867.69,2
1,4,9.99185,654.405,2
2,0,0,538.391,2
2,1,2.49796,809.945,2
2,2,4.99592,930.155,2
2,3,7.49389,843.407,2
2,4,9.99185,638.51,2
3,0,0,565.171,2
3,1,2.49796,871.169,2
3,2,4.99592,967.783,2
3,3,7.49389,859.813,2
3,4,9.99185,681.061,2
4,0,0,584.431,2
